球队,中文名,英文名,号码,位置,身高,体重,球龄,img_url
公牛,帕特里克-威廉姆斯,Patrick Williams,44,前锋,201,98,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_帕特里克-威廉姆斯.png
公牛,利德尔,E.J. Liddell,32,前锋,198,109,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_利德尔.png
公牛,朱利安-菲利普斯,Julian Phillips,15,前锋,203,90,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_朱利安-菲利普斯.png
公牛,贾米尔-杨,Jahmir Young,11,后卫,185,84,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_贾米尔-杨.png
公牛,马塔斯-布泽利斯,Matas Buzelis,14,前锋,208,95,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_马塔斯-布泽利斯.png
公牛,尼科拉-武切维奇,Nikola Vu?evi?,9,中锋,208,118,13,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_尼科拉-武切维奇.png
公牛,特里,Dalen Terry,25,前锋,201,88,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_特里.png
公牛,杰文·卡特,Jevon Carter,5,后卫,185,91,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_杰文·卡特.png
公牛,扎克-科林斯,Zach Collins,12,前锋/中锋,211,113,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_扎克-科林斯.png
公牛,朗佐-鲍尔,Lonzo Ball,2,后卫,198,86,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_朗佐-鲍尔.png
热火,约什-克里斯托弗,Josh Christopher,8,后卫,193,98,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_约什-克里斯托弗.png
热火,尼古拉-约维奇,Nikola Jovi?,5,前锋,208,93,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/热火_尼古拉-约维奇.png
